temperature,wind_speed,mean_sea_level_pressure,total_cloud_cover,mintemp,minwind,minpress,mincloud,maxtemp,maxwind,maxpress,maxcloud,monthdate
16.81239247311828,3.852634408602151,101609.4791532258,0.518010752688172,8.49,0.1,100049.63,0.0,30.75,10.16,102718.16,1.0,2015-03
13.860569444444446,3.3180555555555555,101731.42747222222,0.5855,5.43,0.09,96734.16,0.0,27.22,8.25,103255.68,1.0,2015-04
12.273104838709678,4.7078225806451615,101421.56311827956,0.5686290322580645,4.53,0.16,96740.39,0.0,21.23,10.7,103253.6,1.0,2015-05
9.860319444444444,3.3324444444444445,101692.81525,0.6642083333333334,3.28,0.1,96727.49,0.0,16.84,9.49,103258.38,1.0,2015-06
9.033413978494623,4.585981182795699,101659.8870295699,0.6081451612903226,0.9,0.44,96736.7,0.0,15.39,10.64,103269.02,1.0,2015-07
9.640362903225807,3.9148790322580647,101995.83934139785,0.6883602150537634,2.51,0.22,100131.59,0.0,16.53,8.34,103231.02,1.0,2015-08
11.508125,3.657222222222222,101778.5678611111,0.5251111111111111,4.43,0.19,96733.36,0.0,24.28,8.36,103269.58,1.0,2015-09
16.78837365591398,3.6469354838709678,101854.58954301076,0.5022177419354839,6.37,0.05,96802.2,0.0,31.37,8.82,103247.1,1.0,2015-10
16.44061111111111,3.7459861111111112,101424.57186111111,0.5987222222222222,7.82,0.05,99411.36,0.0,31.9,11.51,102314.98,1.0,2015-11
20.163709677419355,3.655752688172043,101502.094327957,0.48072580645161295,8.66,0.24,99823.99,0.0,38.19,8.97,102880.37,1.0,2015-12
19.84592741935484,3.651599462365591,101388.78465053764,0.619502688172043,10.22,0.03,99918.43,0.0,38.32,8.77,103071.82,1.0,2016-01
19.696307471264365,3.5298994252873563,101523.3295545977,0.49991379310344825,11.7,0.07,100006.78,0.0,37.43,8.43,102500.49,1.0,2016-02
19.157379032258063,3.412970430107527,101758.06838709676,0.6320430107526882,10.1,0.17,99383.36,0.0,36.06,9.98,102211.63,1.0,2016-03
16.614569444444445,3.535152777777778,102083.15884722224,0.603125,8.57,0.15,100299.79,0.0,27.66,8.34,103201.16,1.0,2016-04
13.601841397849462,4.985349462365591,101435.21735215053,0.6050806451612903,3.47,0.2,99114.17,0.0,23.66,11.65,103075.4,1.0,2016-05
10.285805555555555,4.227069444444444,100917.008,0.6933611111111111,3.43,0.11,96737.99,0.0,15.9,10.52,103240.66,1.0,2016-06
10.519516129032258,5.045376344086022,101644.68987903226,0.7261021505376345,3.89,0.15,96751.73,0.0,16.07,11.62,103248.01,1.0,2016-07
10.639771505376343,4.112997311827957,101950.4197983871,0.6344489247311828,2.63,0.06,100560.91,0.0,19.21,9.88,103248.69,1.0,2016-08
12.150861111111112,3.877569444444444,101311.91234722223,0.7695416666666668,6.74,0.09,98803.36,0.0,20.62,8.45,102968.21,1.0,2016-09
13.079905913978495,5.431491935483871,101298.46661290323,0.634475806451613,4.14,0.52,99274.67,0.0,23.69,12.83,102666.85,1.0,2016-10
14.93861111111111,4.091458333333334,101288.59868055556,0.6607222222222222,7.63,0.05,99309.51,0.0,32.16,9.6,102446.63,1.0,2016-11
